id,name,now_cost,position,team,points_per_game_rank_type,selected_rank,bonus,penalties_saved,direct_freekicks_order,form_rank_type,ict_index,expected_goals_conceded_per_90,goals_conceded,saves,points_per_game,yellow_cards,minutes,penalties_missed,saves_per_90,starts_per_90,expected_goal_involvements_per_90,chance_of_playing_next_round,expected_goal_involvements,corners_and_indirect_freekicks_order,now_cost_rank,creativity_rank,ict_index_rank,creativity,expected_goals_conceded,goals_conceded_per_90,ep_next,starts,own_goals,now_cost_rank_type,web_name,clean_sheets,selected_by_percent,creativity_rank_type,threat,clean_sheets_per_90,threat_rank,points_per_game_rank,news,bps,news_added,red_cards,influence_rank_type,expected_assists,selected_rank_type,value_season,form_rank,influence_rank,total_points,status,ict_index_rank_type,expected_assists_per_90,influence,goals_scored,expected_goals_per_90,expected_goals,assists,threat_rank_type,penalties_order
26,Leandro Trossard,70,MID,Arsenal,14,79,8,0,,238,225.2,1.24,38,0,4.3,1,2237,0,0.0,1.05,0.5,,12.39,2.0,30,28,22,711.4,30.79,1.53,3.0,26,0,17,Trossard,8,4.8,22,875.0,0.32,23,31,,494,,0,23,6.02,27,22.0,578,52,154,a,15,0.24,666.0,8,0.26,6.37,13,14,
28,Matt Turner,40,GKP,Arsenal,54,200,0,0,,34,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,574,421,433,0.0,0.00,0.0,1.5,0,0,63,Turner,0,0.7,44,0.0,0.0,405,438,,0,,0,54,0.00,32,0.0,62,431,0,a,54,0.0,0.0,0,0.0,0.00,0,35,
29,Benjamin White,55,DEF,Arsenal,5,43,12,0,,199,130.8,1.1,35,0,4.1,5,3054,0,0.0,1.06,0.15,,4.85,,112,56,75,492.5,37.23,1.03,3.1,36,0,10,White,15,9.6,8,159.0,0.44,170,42,,734,,0,16,3.60,14,28.4,500,57,156,a,8,0.11,655.4,2,0.04,1.25,5,31,
30,Granit Xhaka,60,MID,Arsenal,21,487,15,0,2.0,213,194.8,1.1,35,0,4.1,4,2992,0,0.0,1.08,0.26,0.0,8.54,,59,33,33,675.5,36.52,1.05,0.0,36,0,36,Xhaka,13,0.1,27,556.0,0.39,48,44,Transferred to Bayer Leverkusen,634,2023-07-11T08:41:07.159936Z,0,17,3.89,159,25.5,538,40,153,u,24,0.12,715.0,7,0.14,4.65,8,33,
31,Oleksandr Zinchenko,50,DEF,Arsenal,19,40,8,0,,186,98.3,1.13,28,0,3.7,3,2122,0,0.0,1.1,0.16,,3.71,,232,83,121,387.7,26.67,1.19,2.8,26,0,26,Zinchenko,10,10.6,14,190.0,0.42,154,75,,500,,0,53,2.39,13,19.8,405,145,99,a,25,0.1,405.0,1,0.06,1.32,2,24,
540,Declan Rice,55,MID,Arsenal,54,59,12,0,,192,155.5,1.33,50,0,3.1,5,3272,1,0.0,0.99,0.12,,4.25,,118,47,58,539.3,48.28,1.38,2.5,36,0,74,Rice,9,6.4,39,226.0,0.25,136,129,,622,,0,11,1.85,17,21.1,506,25,116,a,43,0.05,789.0,4,0.07,2.40,3,88,
578,Reiss Nelson,50,MID,Arsenal,29,546,5,0,,125,48.0,0.96,3,0,3.8,0,202,0,0.0,0.0,0.93,,2.08,,226,206,237,121.9,2.16,1.34,2.1,0,0,150,Nelson,1,0.1,124,178.0,0.45,160,65,,127,,0,113,0.99,202,8.4,399,257,42,a,114,0.44,179.8,3,0.49,1.09,3,103,
585,Jurriën Timber,50,DEF,Arsenal,205,109,0,0,,193,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,275,591,591,0.0,0.00,0.0,2.8,0,0,33,J.Timber,0,2.8,205,0.0,0.0,588,591,,0,,0,205,0.00,36,0.0,448,591,0,a,205,0.0,0.0,0,0.0,0.00,0,205,
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,13,448,5,0,,179,72.3,1.21,10,0,3.8,3,1325,0,0.0,0.95,0.21,0.0,3.16,,180,100,181,321.1,17.83,0.68,0.0,14,0,19,Alex Moreno,7,0.1,18,151.0,0.48,178,64,Hamstring injury - Expected back 03 Sep,278,2023-07-05T16:30:03.686424Z,0,80,2.57,174,14.4,353,217,72,i,53,0.17,254.4,0,0.04,0.59,3,34,
33,Cameron Archer,45,FWD,Aston Villa,40,49,0,0,,12,0.9,0.77,1,0,1.0,0,43,0,0.0,0.0,0.02,,0.01,,459,350,379,2.4,0.37,2.09,0.5,0,0,69,Archer,0,8.2,41,6.0,0.0,338,373,,13,,0,41,0.01,11,1.3,266,381,6,a,42,0.02,1.8,0,0.0,0.00,0,43,
34,Leon Bailey,55,MID,Aston Villa,58,204,6,0,3.0,196,132.8,1.61,32,0,3.0,4,1964,0,0.0,1.19,0.46,,10.11,4.0,123,62,74,452.8,35.15,1.47,1.5,26,0,78,Bailey,8,0.7,53,540.0,0.37,51,142,,242,,0,78,4.77,68,18.2,511,176,100,a,56,0.22,339.6,4,0.24,5.34,5,35,
35,Emiliano Buendía Stati,60,MID,Aston Villa,55,158,8,0,,219,158.5,1.37,34,0,3.1,0,2404,0,0.0,1.01,0.39,,10.27,,69,43,54,559.9,36.65,1.27,1.7,27,0,42,Buendia,11,1.2,36,582.0,0.41,43,130,,370,,0,56,3.95,54,19.5,548,122,117,a,39,0.15,441.6,5,0.24,6.32,3,30,
36,Matty Cash,45,DEF,Aston Villa,83,75,3,0,,119,54.9,1.34,29,0,2.2,4,1817,0,0.0,0.99,0.06,,1.15,,386,166,219,178.3,27.14,1.44,1.5,20,0,95,Cash,4,5.2,42,67.0,0.2,262,221,,311,,0,67,0.95,26,12.7,193,190,57,a,75,0.05,303.0,0,0.01,0.20,2,91,
37,Calum Chambers,40,DEF,Aston Villa,136,152,0,0,,6,11.1,1.53,4,0,0.9,2,345,0,0.0,0.52,0.09,,0.33,,531,308,338,29.8,5.88,1.04,0.5,2,0,153,Chambers,0,1.3,116,8.0,0.0,334,388,,67,,0,122,0.19,49,3.2,19,319,13,a,124,0.05,74.4,0,0.04,0.14,0,128,
38,Philippe Coutinho Correia,60,MID,Aston Villa,136,246,1,0,4.0,214,48.8,0.94,9,0,1.6,3,777,0,0.0,0.81,0.24,,2.02,5.0,60,182,235,152.5,8.11,1.04,1.7,7,0,37,Coutinho,3,0.5,114,218.0,0.35,140,312,,98,,0,127,0.65,81,5.3,539,291,32,a,112,0.08,119.2,1,0.16,1.37,0,92,2.0
39,Keinan Davis,50,FWD,Aston Villa,62,385,0,0,,27,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,245,583,585,0.0,0.00,0.0,0.9,0,0,47,Davis,0,0.2,61,0.0,0.0,581,585,,0,,0,61,0.00,64,0.0,418,584,0,a,62,0.0,0.0,0,0.0,0.00,0,62,
40,Leander Dendoncker,50,MID,Aston Villa,139,523,0,0,,100,30.6,1.47,14,0,1.5,0,897,0,0.0,0.9,0.08,,0.86,,196,240,287,96.1,14.68,1.4,1.1,9,0,125,Dendoncker,4,0.1,134,64.0,0.4,263,321,,163,,0,120,0.14,182,7.4,369,278,37,a,134,0.01,143.4,0,0.07,0.72,0,136,
41,Diego Carlos Santos Silva,45,DEF,Aston Villa,124,241,0,0,,100,7.0,0.84,3,0,1.3,0,205,0,0.0,0.88,0.21,,0.47,,360,335,354,13.2,1.92,1.32,1.5,2,0,76,Diego Carlos,0,0.5,124,32.0,0.0,302,342,,20,,0,131,0.11,81,0.9,167,357,4,a,128,0.05,24.8,0,0.16,0.36,0,112,
42,Lucas Digne,45,DEF,Aston Villa,105,160,4,0,2.0,80,68.1,1.56,25,0,1.8,5,1492,0,0.0,1.09,0.14,,2.33,3.0,329,106,189,305.5,25.91,1.51,1.5,18,1,56,Digne,3,1.1,20,97.0,0.18,226,280,,234,,0,77,1.90,52,11.1,136,207,50,a,57,0.11,277.6,1,0.03,0.43,0,69,
43,Douglas Luiz Soares de Paulo,55,MID,Aston Villa,30,102,17,0,1.0,199,162.7,1.32,35,0,3.8,6,2922,0,0.0,1.02,0.18,,5.71,1.0,127,34,50,668.6,42.80,1.08,1.5,33,0,81,Douglas Luiz,13,3.0,28,261.0,0.4,122,68,,594,,1,19,2.92,34,25.8,515,44,142,a,37,0.09,698.4,6,0.09,2.79,7,78,
44,Jhon Durán,50,FWD,Aston Villa,43,484,0,0,,35,7.4,2.77,4,0,0.9,1,126,0,0.0,0.0,0.43,,0.61,,282,334,352,13.4,3.88,2.86,0.9,0,0,55,Duran,0,0.1,40,51.0,0.0,281,390,,15,,0,40,0.02,71,2.2,455,366,11,a,40,0.01,12.8,0,0.42,0.59,0,38,
45,Kortney Hause,40,DEF,Aston Villa,146,340,0,0,,14,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,545,396,410,0.0,0.00,0.0,0.5,0,0,161,Hause,0,0.2,144,0.0,0.0,379,415,,0,,0,145,0.00,125,0.0,33,408,0,a,145,0.0,0.0,0,0.0,0.00,0,141,
46,Tim Iroegbunam,45,MID,Aston Villa,217,479,0,0,,57,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,496,539,543,0.0,0.00,0.0,0.5,0,0,249,Iroegbunam,0,0.1,216,0.0,0.0,534,544,,0,,0,216,0.00,158,0.0,303,542,0,a,216,0.0,0.0,0,0.0,0.00,0,215,
47,Boubacar Kamara,50,MID,Aston Villa,122,502,0,0,,138,45.7,1.68,30,0,1.8,4,1773,0,0.0,1.07,0.06,,1.07,,252,202,244,124.7,33.05,1.52,1.1,21,0,163,Kamara,3,0.1,122,43.0,0.15,292,287,,235,,0,89,0.92,169,8.8,425,198,44,a,117,0.05,288.2,0,0.01,0.15,1,147,
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,52,157,6,0,,120,75.7,1.37,45,0,2.9,6,3322,0,0.0,1.0,0.05,,1.79,,387,214,167,116.2,50.67,1.22,1.5,37,0,96,Konsa,12,1.2,63,72.0,0.33,254,151,,633,,0,25,0.71,51,24.4,194,82,110,a,45,0.02,568.4,0,0.03,1.08,0,86,
49,Emiliano Martínez Romero,50,GKP,Aston Villa,12,52,15,1,,63,85.7,1.25,38,98,3.8,7,3139,0,2.81,1.03,0.01,,0.21,,177,318,141,23.0,43.46,1.09,2.7,36,1,5,Martinez,11,7.8,2,0.0,0.32,556,63,,678,,0,6,0.21,10,27.0,350,21,135,a,6,0.01,835.2,0,0.0,0.00,0,64,
50,John McGinn,55,MID,Aston Villa,76,250,3,0,,174,108.3,1.26,31,0,2.6,7,2692,0,0.0,1.0,0.19,,5.73,2.0,94,92,104,353.6,37.73,1.04,1.5,30,0,56,McGinn,10,0.5,69,347.0,0.33,93,191,,354,,0,70,3.33,83,16.4,482,157,90,a,69,0.11,382.0,1,0.08,2.40,5,63,
51,Tyrone Mings,45,DEF,Aston Villa,15,24,17,0,,94,87.8,1.35,40,0,3.7,7,3150,0,0.0,1.0,0.06,,1.91,,349,249,138,88.2,47.28,1.14,1.5,35,1,70,Mings,12,14.9,82,121.0,0.34,201,71,,617,,0,13,0.95,11,28.9,156,53,130,a,32,0.03,664.4,1,0.03,0.96,3,54,
53,Robin Olsen,40,GKP,Aston Villa,24,188,1,0,,16,8.2,2.75,8,11,2.5,0,280,0,3.54,0.64,0.0,,0.00,,539,391,346,0.0,8.56,2.57,0.5,2,0,45,Olsen,1,0.8,26,0.0,0.32,373,194,,62,,0,22,0.00,28,2.5,27,314,10,a,22,0.0,83.2,0,0.0,0.00,0,17,
54,Jaden Philogene-Bidace,45,MID,Aston Villa,215,440,0,0,,52,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,487,534,538,0.0,0.00,0.0,0.5,0,0,244,Philogene,0,0.1,214,0.0,0.0,529,539,,0,,0,214,0.00,142,0.0,294,537,0,a,214,0.0,0.0,0,0.0,0.00,0,213,
55,Jacob Ramsey,60,MID,Aston Villa,27,221,13,0,,223,164.7,1.38,33,0,3.9,5,2634,0,0.0,1.06,0.27,0.0,7.96,,75,48,47,537.8,40.50,1.13,0.0,31,1,46,J.Ramsey,11,0.6,40,456.0,0.38,63,60,Foot injury - Expected back 16 Sep,470,2023-07-25T12:00:03.978550Z,0,24,2.89,73,22.5,554,58,135,i,35,0.1,653.4,6,0.17,5.07,8,45,
56,Morgan Sanson,45,MID,Aston Villa,163,550,0,0,,6,0.4,3.6,1,0,1.0,0,10,0,0.0,0.0,0.0,0.0,0.00,,347,362,386,0.5,0.40,9.0,0.0,0,0,198,Sanson,0,0.0,178,0.0,0.0,460,366,Joined OGC Nice on a season-long loan,6,2023-07-26T11:26:30.137805Z,0,175,0.00,206,0.4,154,378,2,u,178,0.0,4.2,0,0.0,0.00,0,180,
57,Viljami Sinisalo,40,GKP,Aston Villa,57,586,0,0,,38,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,586,430,441,0.0,0.00,0.0,0.0,0,0,67,Sinisalo,0,0.0,48,0.0,0.0,415,446,Joined Exeter City on a season-long loan,0,2023-07-20T08:38:58.947431Z,0,57,0.00,71,0.0,74,439,0,u,57,0.0,0.0,0,0.0,0.00,0,39,
58,Youri Tielemans,60,MID,Aston Villa,70,154,6,0,,215,122.1,1.76,49,0,2.8,4,2341,1,0.0,1.04,0.21,,5.49,,64,57,87,486.9,45.82,1.88,1.7,27,0,38,Tielemans,6,1.2,48,191.0,0.23,153,173,,461,,0,40,2.99,53,14.3,543,88,86,a,61,0.11,541.8,3,0.1,2.50,3,99,
59,Bertrand Traoré,50,MID,Aston Villa,78,524,1,0,,94,19.0,0.66,1,0,2.5,1,226,0,0.0,0.4,0.35,,0.87,,184,306,316,30.7,1.65,0.4,1.1,1,0,119,Bertrand Traoré,1,0.1,155,79.0,0.4,245,200,,57,,0,141,0.12,183,4.0,357,315,20,a,145,0.05,82.0,2,0.3,0.75,0,127,
60,Ollie Watkins,80,FWD,Aston Villa,6,17,25,0,,73,256.7,1.34,40,0,4.7,4,3129,1,0.0,1.04,0.54,,18.81,,13,71,15,420.3,46.65,1.15,2.0,36,0,5,Watkins,13,20.3,4,1308.0,0.37,6,16,,550,,0,4,2.66,2,21.9,601,20,175,a,4,0.08,837.6,15,0.46,16.15,8,4,1.0
61,Wesley Moraes Ferreira da Silva,50,FWD,Aston Villa,60,535,0,0,,25,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,238,580,582,0.0,0.00,0.0,0.0,0,0,45,Wesley,0,0.1,59,0.0,0.0,578,582,Permanent transfer to Stoke,0,2023-07-31T07:08:09.572672Z,0,59,0.00,74,0.0,411,581,0,u,60,0.0,0.0,0,0.0,0.00,0,60,
584,Pau Torres,45,DEF,Aston Villa,199,95,0,0,,156,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,447,513,517,0.0,0.00,0.0,1.5,0,0,132,Pau,0,3.5,199,0.0,0.0,505,519,,0,,0,199,0.00,32,0.0,254,515,0,a,199,0.0,0.0,0,0.0,0.00,0,198,
599,Moussa Diaby,65,MID,Aston Villa,259,62,0,0,,233,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,51,609,609,0.0,0.00,0.0,1.8,0,0,31,Diaby,0,6.1,259,0.0,0.0,609,609,,0,,0,259,0.00,18,0.0,571,609,0,a,259,0.0,0.0,0,0.0,0.00,0,259,
62,Jaidon Anthony,50,MID,Bournemouth,107,428,4,0,2.0,151,78.1,1.9,29,0,2.0,2,1241,0,0.0,0.8,0.2,,2.79,3.0,273,146,158,209.3,26.14,2.1,1.6,11,0,176,Anthony,2,0.2,97,263.0,0.15,120,265,,193,,0,86,1.10,138,12.2,446,186,61,a,91,0.08,308.6,3,0.12,1.69,1,77,
63,Philip Billing,55,MID,Bournemouth,41,184,14,0,1.0,182,148.4,1.61,54,0,3.5,5,2766,0,0.0,1.11,0.23,,7.16,5.0,103,78,62,401.1,49.46,1.76,2.0,34,0,64,Billing,9,0.9,62,445.0,0.29,65,97,,475,,0,28,2.56,63,22.9,491,63,126,a,46,0.08,637.4,7,0.15,4.60,2,47,
64,David Brooks,50,MID,Bournemouth,185,494,0,0,,95,8.7,2.33,4,0,0.8,1,170,0,0.0,1.06,0.28,,0.53,,185,309,343,28.8,4.40,2.12,1.6,2,0,120,Brooks,0,0.1,157,42.0,0.0,294,394,,7,,0,162,0.20,163,1.0,358,360,5,a,158,0.11,17.6,0,0.17,0.33,0,148,
65,Ryan Christie,50,MID,Bournemouth,104,540,2,0,,107,111.1,1.52,35,0,2.0,2,1825,0,0.0,1.08,0.24,,4.96,,204,68,99,423.5,30.87,1.73,1.6,22,0,132,Christie,3,0.1,56,402.0,0.15,79,262,,225,,0,91,2.07,196,12.8,377,202,64,a,66,0.1,284.2,1,0.14,2.89,2,56,
66,Lewis Cook,50,MID,Bournemouth,121,580,1,0,,105,71.2,1.69,39,0,1.8,4,1712,0,0.0,0.95,0.13,,2.54,,202,93,183,352.5,32.09,2.05,1.6,18,0,130,L.Cook,3,0.0,70,45.0,0.16,290,286,,280,,0,84,2.30,233,10.2,375,183,51,a,96,0.12,313.0,0,0.01,0.24,2,146,
67,Siriki Dembélé,45,MID,Bournemouth,167,594,0,0,,28,11.3,1.97,2,0,1.0,0,104,0,0.0,0.0,0.32,0.0,0.37,,443,286,337,52.3,2.28,1.73,0.0,0,0,220,Siriki,0,0.0,151,28.0,0.0,308,370,Permanent Transfer to Birmingham,20,2023-07-17T06:20:36.127600Z,0,157,0.21,243,1.3,250,352,6,u,156,0.18,31.8,0,0.14,0.16,0,154,
